dataset,class,class_label,unit,geometry,mentions,docs,split,family,cls,as_named,aliases
enterprise survey,non_spatial,no place,—,maybe — needs the survey's own geography,16,13,True,household or phone survey,"{""non_spatial"": 8, ""admin_linked"": 3, ""unclear"": 5}",enterprise survey,
mics,unclear,place not stated,—,maybe — needs the survey's own geography,16,12,True,"household or phone survey, registry / administrative database, facility / asset / infrastructure records","{""non_spatial"": 6, ""admin_linked"": 4, ""unclear"": 6}",MICS 2019,
project financing,non_spatial,no place,—,unknown,16,14,False,"named source, family not stated","{""non_spatial"": 16}",Project Financing Data,
demographic and health survey,unclear,place not stated,—,maybe — needs the survey's own geography,15,14,True,"household or phone survey, official statistics series","{""non_spatial"": 5, ""admin_linked"": 3, ""unclear"": 7}",2011 Demographic and Health Survey,
household budget survey,unclear,place not stated,—,no — aggregate,15,11,True,"household or phone survey, official statistics series, monitoring / tracking system","{""non_spatial"": 3, ""admin_linked"": 4, ""unclear"": 8}",Household Budget Survey,
household surveys,unclear,place not stated,—,maybe — needs the survey's own geography,15,13,True,"household or phone survey, official statistics series, registry / administrative database, facility / asset / infrastructure records","{""admin_linked"": 1, ""non_spatial"": 1, ""unclear"": 13}",household surveys,
agricultural census,unclear,place not stated,—,yes — coordinates or a layer exists,14,9,True,"household or phone survey, official statistics series, registry / administrative database, mapped layer / geospatial product","{""non_spatial"": 3, ""admin_linked"": 5, ""unclear"": 6}",Agricultural Census,
labor force survey,unclear,place not stated,—,no — aggregate,14,10,True,"household or phone survey, official statistics series, registry / administrative database, monitoring / tracking system","{""non_spatial"": 1, ""unclear"": 11, ""admin_linked"": 2}",Labor Force Survey 2021,
living standards measurement survey,national_spatial_derived,mapped / satellite,not stated,yes — coordinates or a layer exists,13,7,True,"household or phone survey, mapped layer / geospatial product","{""national_spatial_derived"": 6, ""non_spatial"": 6, ""unclear"": 1}",living standards measurement survey,
uganda refugee and host communities household survey,non_spatial,no place,—,no — aggregate,13,8,True,"household or phone survey, official statistics series, facility / asset / infrastructure records","{""non_spatial"": 7, ""admin_linked"": 5, ""unclear"": 1}",the Uganda Refugee and Host Communities. 2018 Household Survey,
activity reports,unclear,place not stated,—,maybe — needs the survey's own geography,12,2,True,household or phone survey,"{""unclear"": 9, ""admin_linked"": 1, ""non_spatial"": 2}",activity reports,
ethiopia demographic and health survey,non_spatial,no place,—,maybe — needs the survey's own geography,12,5,True,"household or phone survey, registry / administrative database","{""non_spatial"": 11, ""admin_linked"": 1}","2016, Ethiopia Demographic and Health Survey",
hmis,unclear,place not stated,—,maybe — needs the survey's own geography,12,5,True,"official statistics series, registry / administrative database","{""unclear"": 9, ""non_spatial"": 1, ""admin_linked"": 2}",HMIS,
kenya health information system (khis),admin_linked,named area,point,yes — coordinates or a layer exists,12,2,True,"satellite / raster / index, official statistics series","{""admin_linked"": 9, ""non_spatial"": 3}",the Kenya Health Information System (KHIS),KHIS
national social registry,admin_linked,named area,district / sub-county,maybe — needs the survey's own geography,12,12,True,"official statistics series, registry / administrative database, facility / asset / infrastructure records","{""admin_linked"": 10, ""non_spatial"": 1, ""unclear"": 1}",national social registry,
sex-disaggregated,unclear,place not stated,—,maybe — needs the survey's own geography,12,8,True,registry / administrative database,"{""admin_linked"": 1, ""non_spatial"": 2, ""unclear"": 9}",Sex-disaggregated data,
surveys,unclear,place not stated,—,yes — coordinates or a layer exists,12,11,True,household or phone survey,"{""unclear"": 8, ""point_geocoded"": 3, ""admin_linked"": 1}",surveys,
service delivery survey,non_spatial,no place,—,maybe — needs the survey's own geography,11,11,True,"household or phone survey, official statistics series","{""non_spatial"": 10, ""unclear"": 1}",2000 Baseline Service Delivery Survey,
disaggregated,unclear,place not stated,—,maybe — needs the survey's own geography,10,10,True,"monitoring / tracking system, facility / asset / infrastructure records","{""unclear"": 7, ""non_spatial"": 2, ""admin_linked"": 1}",disaggregated data,
geospatial,point_geocoded,exact point,point,yes — coordinates or a layer exists,10,9,True,"household or phone survey, official statistics series, registry / administrative database, mapped layer / geospatial product","{""point_geocoded"": 9, ""unclear"": 1}",geospatial datasets,
global climate risk index,admin_linked,named area,country only,no — aggregate,10,10,True,"named source, family not stated","{""non_spatial"": 5, ""admin_linked"": 5}",Global Climate Risk Index 2020,
global gender gap index,non_spatial,no place,—,no — aggregate,10,8,False,"official statistics series, registry / administrative database, facility / asset / infrastructure records","{""non_spatial"": 10}",Global Gender Gap Index 2023,
household expenditure survey,non_spatial,no place,—,maybe — needs the survey's own geography,10,5,True,"household or phone survey, facility / asset / infrastructure records","{""non_spatial"": 6, ""admin_linked"": 4}",household expenditure survey data,
national census,admin_linked,named area,local (ward/village/camp/kebele),no — aggregate,10,9,True,household or phone survey,"{""non_spatial"": 3, ""admin_linked"": 7}",1994 national census,
gender disaggregated,unclear,place not stated,—,maybe — needs the survey's own geography,9,9,True,"registry / administrative database, facility / asset / infrastructure records","{""non_spatial"": 3, ""admin_linked"": 1, ""unclear"": 5}",gender disaggregated data,
global competitiveness index,non_spatial,no place,—,no — aggregate,9,8,True,facility / asset / infrastructure records,"{""non_spatial"": 8, ""admin_linked"": 1}",Global Competitiveness Index,
hies,admin_linked,named area,country only,maybe — needs the survey's own geography,9,6,True,"household or phone survey, official statistics series","{""admin_linked"": 5, ""non_spatial"": 1, ""unclear"": 3}",HIES data,
monitoring,unclear,place not stated,—,maybe — needs the survey's own geography,9,6,True,monitoring / tracking system,"{""admin_linked"": 1, ""non_spatial"": 2, ""unclear"": 6}",monitoring data,
multiple indicator cluster survey,unclear,place not stated,—,maybe — needs the survey's own geography,9,8,True,"household or phone survey, official statistics series","{""non_spatial"": 1, ""admin_linked"": 2, ""unclear"": 6}",Multiple Indicator Cluster Survey,
pmu / consultant reports,unclear,place not stated,—,unknown,9,1,True,"named source, family not stated","{""non_spatial"": 1, ""unclear"": 8}",PMU / Consultant Reports,
population,admin_linked,named area,point,maybe — needs the survey's own geography,9,9,True,"household or phone survey, official statistics series, facility / asset / infrastructure records","{""admin_linked"": 5, ""unclear"": 4}",2020 population data,
poverty assessment,unclear,place not stated,—,maybe — needs the survey's own geography,9,5,True,"named source, family not stated","{""non_spatial"": 4, ""unclear"": 4, ""admin_linked"": 1}",1997 Poverty Assessment,
sintys,admin_linked,named area,country only,no — aggregate,9,4,True,registry / administrative database,"{""non_spatial"": 2, ""admin_linked"": 5, ""unclear"": 2}",SINTyS,
statistical,unclear,place not stated,—,yes — coordinates or a layer exists,9,7,True,"household or phone survey, official statistics series, registry / administrative database, mapped layer / geospatial product","{""unclear"": 6, ""non_spatial"": 3}",statistical data,
uganda demographic and health survey,non_spatial,no place,—,maybe — needs the survey's own geography,9,5,False,"household or phone survey, official statistics series","{""non_spatial"": 9}",Uganda Demographic and Health Survey,
beneficiary survey,unclear,place not stated,—,maybe — needs the survey's own geography,8,6,True,household or phone survey,"{""admin_linked"": 2, ""unclear"": 6}",baseline beneficiary survey,
development economics central,non_spatial,no place,—,no — aggregate,8,4,False,registry / administrative database,"{""non_spatial"": 8}",Development Economics central database,
findex,non_spatial,no place,—,no — aggregate,8,8,True,"household or phone survey, registry / administrative database","{""non_spatial"": 6, ""admin_linked"": 2}",Findex data,
h/h survey,admin_linked,named area,local (ward/village/camp/kebele),maybe — needs the survey's own geography,8,1,False,household or phone survey,"{""admin_linked"": 8}",H/H survey,
land records,admin_linked,named area,point,yes — coordinates or a layer exists,8,4,True,mapped layer / geospatial product,"{""admin_linked"": 7, ""point_geocoded"": 1}",land records,
lfs,unclear,place not stated,—,maybe — needs the survey's own geography,8,5,True,"household or phone survey, official statistics series, registry / administrative database, monitoring / tracking system, facility / asset / infrastructure records","{""non_spatial"": 3, ""admin_linked"": 1, ""unclear"": 4}",LFS,
mis,unclear,place not stated,—,maybe — needs the survey's own geography,8,8,True,"household or phone survey, registry / administrative database, monitoring / tracking system","{""unclear"": 5, ""admin_linked"": 2, ""non_spatial"": 1}",the MIS,
school census,admin_linked,named area,point,yes — coordinates or a layer exists,8,7,True,"household or phone survey, official statistics series, facility / asset / infrastructure records","{""non_spatial"": 1, ""admin_linked"": 5, ""point_geocoded"": 1, ""unclear"": 1}",Annual School Census 2010,
uganda national household survey (unhs),non_spatial,no place,—,maybe — needs the survey's own geography,8,5,False,"household or phone survey, official statistics series","{""non_spatial"": 8}",Uganda National Household Survey (UNHS),UNHS 2019/2020
world bank enterprise survey,non_spatial,no place,—,maybe — needs the survey's own geography,8,7,True,"household or phone survey, official statistics series","{""non_spatial"": 7, ""unclear"": 1}",World Bank Enterprise Survey 2018,
administrative records,unclear,place not stated,—,yes — coordinates or a layer exists,7,5,True,"household or phone survey, official statistics series, monitoring / tracking system, facility / asset / infrastructure records","{""point_geocoded"": 1, ""unclear"": 6}",administrative records,
building register,point_geocoded,exact point,point,yes — coordinates or a layer exists,7,2,False,"satellite / raster / index, registry / administrative database, facility / asset / infrastructure records","{""point_geocoded"": 7}",Building Register,
climate,unclear,place not stated,—,maybe — needs the survey's own geography,7,6,True,"named source, family not stated","{""unclear"": 3, ""admin_linked"": 1, ""non_spatial"": 3}",Climate data,
data aggregated by piu,unclear,place not stated,—,maybe — needs the survey's own geography,7,1,False,"named source, family not stated","{""unclear"": 7}",Data aggregated by PIU,
dhis-2,unclear,place not stated,—,maybe — needs the survey's own geography,7,2,True,"household or phone survey, registry / administrative database","{""admin_linked"": 2, ""unclear"": 5}",DHIS-2,
district recovery assessments,admin_linked,named area,district / sub-county,maybe — needs the survey's own geography,7,7,False,"named source, family not stated","{""admin_linked"": 7}",District recovery assessments,
kdhs,non_spatial,no place,—,maybe — needs the survey's own geography,7,4,True,household or phone survey,"{""non_spatial"": 6, ""admin_linked"": 1}",KDHS,
lsms,non_spatial,no place,—,maybe — needs the survey's own geography,7,7,True,household or phone survey,"{""non_spatial"": 6, ""unclear"": 1}",2003 LSMS,
oecs data for decision making,non_spatial,no place,—,unknown,7,3,True,official statistics series,"{""non_spatial"": 5, ""unclear"": 2}",OECS Data for Decision Making,
pdo indicators,non_spatial,no place,—,maybe — needs the survey's own geography,7,7,False,monitoring / tracking system,"{""non_spatial"": 7}",PDO Indicators,
penra pmu,admin_linked,named area,country only,maybe — needs the survey's own geography,7,2,False,monitoring / tracking system,"{""admin_linked"": 7}",PENRA PMU,
personal,unclear,place not stated,—,maybe — needs the survey's own geography,7,6,True,monitoring / tracking system,"{""unclear"": 5, ""non_spatial"": 2}",personal data,
reports from ghos,unclear,place not stated,—,unknown,7,2,True,"named source, family not stated","{""unclear"": 5, ""non_spatial"": 2}",reports from GHOs,
survey in,admin_linked,named area,point,maybe — needs the survey's own geography,7,7,False,household or phone survey,"{""admin_linked"": 7}",survey in 2002,
uganda demographic and health survey (udhs),non_spatial,no place,—,maybe — needs the survey's own geography,7,4,True,"household or phone survey, facility / asset / infrastructure records","{""non_spatial"": 5, ""admin_linked"": 2}",Uganda Demographic and Health Survey (UDHS),2016 UDHS
unified social registry,admin_linked,named area,point,maybe — needs the survey's own geography,7,2,False,"household or phone survey, registry / administrative database","{""admin_linked"": 7}",Unified Social Registry,
world bank,non_spatial,no place,—,no — aggregate,7,7,True,household or phone survey,"{""non_spatial"": 6, ""admin_linked"": 1}",World Bank data,
beneficiary,admin_linked,named area,country only,maybe — needs the survey's own geography,6,6,True,"household or phone survey, registry / administrative database","{""unclear"": 2, ""admin_linked"": 3, ""non_spatial"": 1}",beneficiary database,
cadastral,point_geocoded,exact point,point,yes — coordinates or a layer exists,6,2,False,"official statistics series, registry / administrative database, facility / asset / infrastructure records, mapped layer / geospatial product","{""point_geocoded"": 6}",cadastral data,
consumer price index,non_spatial,no place,—,no — aggregate,6,5,True,official statistics series,"{""admin_linked"": 1, ""non_spatial"": 5}",Consumer Price Index,
economic census,admin_linked,named area,country only,maybe — needs the survey's own geography,6,4,True,"household or phone survey, official statistics series","{""admin_linked"": 4, ""unclear"": 2}",Economic Census,
esr,admin_linked,named area,country only,maybe — needs the survey's own geography,6,2,True,"household or phone survey, registry / administrative database","{""admin_linked"": 3, ""unclear"": 3}",ESR data,
high-frequency phone survey,non_spatial,no place,—,maybe — needs the survey's own geography,6,4,True,"household or phone survey, official statistics series, facility / asset / infrastructure records","{""non_spatial"": 4, ""unclear"": 1, ""admin_linked"": 1}",High-Frequency Phone Survey,
household income and expenditure survey,admin_linked,named area,province / region / state,no — aggregate,6,6,True,"household or phone survey, registry / administrative database","{""non_spatial"": 1, ""admin_linked"": 4, ""unclear"": 1}",Household Income and Expenditure Survey,
ihses,unclear,place not stated,—,no — aggregate,6,1,True,household or phone survey,"{""non_spatial"": 1, ""admin_linked"": 2, ""unclear"": 3}",IHSES data,
integrated beneficiary registry,unclear,place not stated,—,maybe — needs the survey's own geography,6,1,False,"household or phone survey, registry / administrative database","{""unclear"": 6}",integrated beneficiary registry,
inter-regional disparities in expenditure surveys,admin_linked,named area,province / region / state,maybe — needs the survey's own geography,6,6,False,household or phone survey,"{""admin_linked"": 6}",Inter-regional disparities in Expenditure Surveys,
logistics performance index,non_spatial,no place,—,no — aggregate,6,5,False,monitoring / tracking system,"{""non_spatial"": 6}",Logistics Performance Index 2018,
mef report,unclear,place not stated,—,unknown,6,1,True,registry / administrative database,"{""non_spatial"": 2, ""unclear"": 4}",MEF Report,
monitoring consultant s progress reports,admin_linked,named area,country only,maybe — needs the survey's own geography,6,2,False,"registry / administrative database, monitoring / tracking system, facility / asset / infrastructure records","{""admin_linked"": 6}",Monitoring consultant's progress reports,
national health accounts,non_spatial,no place,—,maybe — needs the survey's own geography,6,4,False,household or phone survey,"{""non_spatial"": 6}",2012 National Health Accounts,
nptp,admin_linked,named area,country only,maybe — needs the survey's own geography,6,3,True,"household or phone survey, registry / administrative database","{""admin_linked"": 3, ""unclear"": 3}",NPTP Database,
passenger surveys,unclear,place not stated,—,maybe — needs the survey's own geography,6,1,False,household or phone survey,"{""unclear"": 6}",passenger surveys,
pets surveys,unclear,place not stated,—,maybe — needs the survey's own geography,6,6,False,household or phone survey,"{""unclear"": 6}",PETS surveys,
project m&e system,unclear,place not stated,—,maybe — needs the survey's own geography,6,1,False,household or phone survey,"{""unclear"": 6}",Project M&E System,
sihbs,unclear,place not stated,—,maybe — needs the survey's own geography,6,1,True,household or phone survey,"{""non_spatial"": 1, ""unclear"": 5}",SIHBS,
survey conducted in,non_spatial,no place,—,maybe — needs the survey's own geography,6,3,True,household or phone survey,"{""non_spatial"": 5, ""admin_linked"": 1}",survey conducted in 2014,
agri-park survey,unclear,place not stated,—,no — aggregate,5,1,False,household or phone survey,"{""unclear"": 5}",Agri-park survey data,
bertha system,non_spatial,no place,—,maybe — needs the survey's own geography,5,2,False,"named source, family not stated","{""non_spatial"": 5}",Bertha System,
business census,admin_linked,named area,district / sub-county,maybe — needs the survey's own geography,5,4,True,"household or phone survey, official statistics series, registry / administrative database","{""admin_linked"": 3, ""non_spatial"": 1, ""unclear"": 1}",business census,
dynamic social registry,unclear,place not stated,—,maybe — needs the survey's own geography,5,3,True,registry / administrative database,"{""unclear"": 3, ""admin_linked"": 2}",dynamic social registry,
economic survey,admin_linked,named area,province / region / state,no — aggregate,5,5,True,"household or phone survey, official statistics series","{""unclear"": 1, ""non_spatial"": 2, ""admin_linked"": 2}",Economic Survey 2018,
facility records,admin_linked,named area,point,yes — coordinates or a layer exists,5,1,True,"household or phone survey, registry / administrative database, monitoring / tracking system","{""point_geocoded"": 2, ""admin_linked"": 3}",Facility records,
fatality,point_geocoded,exact point,point,yes — coordinates or a layer exists,5,2,True,"named source, family not stated","{""admin_linked"": 1, ""point_geocoded"": 4}",Baseline fatality data,
financial,non_spatial,no place,—,no — aggregate,5,4,False,registry / administrative database,"{""non_spatial"": 5}",financial database,
gender-disaggregated,unclear,place not stated,—,unknown,5,5,True,monitoring / tracking system,"{""unclear"": 4, ""non_spatial"": 1}",gender-disaggregated data,
global health security index,non_spatial,no place,—,no — aggregate,5,4,False,"named source, family not stated","{""non_spatial"": 5}",Global Health Security Index,
high frequency phone survey,non_spatial,no place,—,maybe — needs the survey's own geography,5,5,False,"household or phone survey, official statistics series","{""non_spatial"": 5}",high frequency phone survey,
infrastructure cadaster,point_geocoded,exact point,point,yes — coordinates or a layer exists,5,2,True,"named source, family not stated","{""admin_linked"": 1, ""point_geocoded"": 4}",infrastructure cadaster,
moe reports,non_spatial,no place,—,maybe — needs the survey's own geography,5,5,True,facility / asset / infrastructure records,"{""non_spatial"": 3, ""unclear"": 1, ""admin_linked"": 1}",MOE reports,
national household survey,admin_linked,named area,country only,maybe — needs the survey's own geography,5,4,True,household or phone survey,"{""admin_linked"": 3, ""unclear"": 2}",National Household Survey,
national population and housing census,non_spatial,no place,—,maybe — needs the survey's own geography,5,5,True,"household or phone survey, official statistics series","{""non_spatial"": 4, ""admin_linked"": 1}",National Population and Housing Census 2016,
nd-gain index,admin_linked,named area,country only,no — aggregate,5,4,True,"named source, family not stated","{""admin_linked"": 3, ""non_spatial"": 1, ""unclear"": 1}",ND-GAIN Index,
notre dame global adaptation index,non_spatial,no place,—,no — aggregate,5,5,True,"named source, family not stated","{""non_spatial"": 4, ""admin_linked"": 1}",Notre Dame Global Adaptation Index,
notre dame global adaptation initiative country index,non_spatial,no place,—,no — aggregate,5,5,True,"named source, family not stated","{""non_spatial"": 4, ""admin_linked"": 1}",Notre Dame Global Adaptation Initiative Country Index,
periodic surveys,unclear,place not stated,—,maybe — needs the survey's own geography,5,3,False,household or phone survey,"{""unclear"": 5}",periodic surveys,
pmu and consultants reports,unclear,place not stated,—,unknown,5,1,False,"named source, family not stated","{""unclear"": 5}",PMU and consultants reports,
pmu progress reports,unclear,place not stated,—,maybe — needs the survey's own geography,5,1,False,"registry / administrative database, monitoring / tracking system","{""unclear"": 5}",PMU progress reports,
project mis and project progress reports,admin_linked,named area,country only,maybe — needs the survey's own geography,5,1,False,"household or phone survey, registry / administrative database, monitoring / tracking system","{""admin_linked"": 5}",Project MIS and Project Progress Reports,
project procurement records,non_spatial,no place,—,maybe — needs the survey's own geography,5,5,False,"named source, family not stated","{""non_spatial"": 5}",project procurement records,
project reports,non_spatial,no place,—,maybe — needs the survey's own geography,5,4,True,household or phone survey,"{""non_spatial"": 3, ""unclear"": 2}",Project reports,
pslm,admin_linked,named area,country only,maybe — needs the survey's own geography,5,2,True,household or phone survey,"{""non_spatial"": 1, ""admin_linked"": 4}",PSLM,
routine,unclear,place not stated,—,maybe — needs the survey's own geography,5,4,False,household or phone survey,"{""unclear"": 5}",routine data,
socio-economic,unclear,place not stated,—,maybe — needs the survey's own geography,5,4,True,household or phone survey,"{""unclear"": 3, ""admin_linked"": 1, ""non_spatial"": 1}",socio-economic baseline data,
statistical business register,unclear,place not stated,—,no — aggregate,5,5,True,"household or phone survey, official statistics series","{""admin_linked"": 1, ""unclear"": 4}",Statistical Business Register,
world bank databank,non_spatial,no place,—,no — aggregate,5,5,True,"household or phone survey, official statistics series, registry / administrative database","{""non_spatial"": 4, ""admin_linked"": 1}",World Bank DataBank,
a study,non_spatial,no place,—,unknown,4,4,True,"named source, family not stated","{""admin_linked"": 1, ""non_spatial"": 3}",a 2016 study,
assessment,non_spatial,no place,—,maybe — needs the survey's own geography,4,4,True,"named source, family not stated","{""non_spatial"": 2, ""admin_linked"": 1, ""unclear"": 1}",2018 assessment,
beneficiary satisfaction surveys,unclear,place not stated,—,maybe — needs the survey's own geography,4,4,False,"household or phone survey, registry / administrative database, monitoring / tracking system","{""unclear"": 4}",beneficiary satisfaction surveys,
building registry,point_geocoded,exact point,point,yes — coordinates or a layer exists,4,2,False,registry / administrative database,"{""point_geocoded"": 4}",building registry,
cadastro nico,unclear,place not stated,—,yes — coordinates or a layer exists,4,2,True,registry / administrative database,"{""admin_linked"": 1, ""unclear"": 3}",Cadastro Único,
census or household survey,admin_linked,named area,point,yes — coordinates or a layer exists,4,4,False,"household or phone survey, facility / asset / infrastructure records, mapped layer / geospatial product","{""admin_linked"": 4}",census or household survey data,
civil registration,admin_linked,named area,province / region / state,maybe — needs the survey's own geography,4,2,True,"official statistics series, registry / administrative database","{""unclear"": 2, ""admin_linked"": 2}",civil registration database,
data from nttis,admin_linked,named area,country only,maybe — needs the survey's own geography,4,1,False,monitoring / tracking system,"{""admin_linked"": 4}",data from NTTIs,
data of wua support units,unclear,place not stated,—,unknown,4,1,False,registry / administrative database,"{""unclear"": 4}",data of WUA support units,
demographic,admin_linked,named area,district / sub-county,maybe — needs the survey's own geography,4,3,False,"household or phone survey, monitoring / tracking system","{""admin_linked"": 4}",demographic data,
digitized records of road crashes,point_geocoded,exact point,point,yes — coordinates or a layer exists,4,1,False,"registry / administrative database, facility / asset / infrastructure records","{""point_geocoded"": 4}",Digitized records of road crashes,
education,unclear,place not stated,—,maybe — needs the survey's own geography,4,4,True,facility / asset / infrastructure records,"{""non_spatial"": 1, ""unclear"": 3}",education data,
ethiopia poverty reduction strategy paper first progress report ,non_spatial,no place,—,no — aggregate,4,1,False,"registry / administrative database, facility / asset / infrastructure records","{""non_spatial"": 4}","Ethiopia: Poverty Reduction Strategy Paper, First Annual Progress Report, Dec. 2003",
fare card,point_geocoded,exact point,point,yes — coordinates or a layer exists,4,1,False,"household or phone survey, facility / asset / infrastructure records","{""point_geocoded"": 4}",fare card data,
general population and housing census,admin_linked,named area,point,yes — coordinates or a layer exists,4,4,True,household or phone survey,"{""non_spatial"": 1, ""point_geocoded"": 1, ""admin_linked"": 2}",2008 General Population and Housing Census,
gini index,non_spatial,no place,—,no — aggregate,4,4,True,"named source, family not stated","{""non_spatial"": 3, ""admin_linked"": 1}",Gini index,
global gender gap report,non_spatial,no place,—,no — aggregate,4,3,True,"named source, family not stated","{""non_spatial"": 3, ""admin_linked"": 1}",Global Gender Gap report,
health survey,unclear,place not stated,—,no — aggregate,4,3,False,"household or phone survey, official statistics series, registry / administrative database","{""unclear"": 4}",health survey,
household survey microdata,non_spatial,no place,—,maybe — needs the survey's own geography,4,1,False,household or phone survey,"{""non_spatial"": 4}",household survey microdata,
hr records,unclear,place not stated,—,maybe — needs the survey's own geography,4,4,False,registry / administrative database,"{""unclear"": 4}",HR records,
human capital index (hci),non_spatial,no place,—,no — aggregate,4,4,False,"named source, family not stated","{""non_spatial"": 4}",Human Capital Index (HCI),the HCI
ifrs,non_spatial,no place,—,unknown,4,4,False,"named source, family not stated","{""non_spatial"": 4}",IFRs,
impact evaluation surveys,unclear,place not stated,—,yes — coordinates or a layer exists,4,2,False,"satellite / raster / index, household or phone survey","{""unclear"": 4}",impact evaluation surveys,
iom dtm,admin_linked,named area,district / sub-county,unknown,4,4,True,monitoring / tracking system,"{""unclear"": 2, ""admin_linked"": 2}",IOM DTM,
kap survey,unclear,place not stated,—,maybe — needs the survey's own geography,4,1,False,household or phone survey,"{""unclear"": 4}",KAP survey data,
kengen financial statements,non_spatial,no place,—,no — aggregate,4,1,False,"named source, family not stated","{""non_spatial"": 4}",KenGen Financial Statements,
labor market surveys,unclear,place not stated,—,maybe — needs the survey's own geography,4,4,True,"household or phone survey, official statistics series, facility / asset / infrastructure records","{""non_spatial"": 1, ""unclear"": 3}",Labor market surveys,
labor statistics,unclear,place not stated,—,no — aggregate,4,3,True,"household or phone survey, official statistics series","{""non_spatial"": 1, ""unclear"": 3}",labor statistics,
land registry,admin_linked,named area,point,yes — coordinates or a layer exists,4,4,True,registry / administrative database,"{""admin_linked"": 3, ""point_geocoded"": 1}",land registry,
livelihoods impact evaluation,unclear,place not stated,—,unknown,4,1,False,"named source, family not stated","{""unclear"": 4}",Livelihoods Impact Evaluation,
living standards measurement study,unclear,place not stated,—,unknown,4,1,False,"named source, family not stated","{""unclear"": 4}",Living Standards Measurement Study,
m&e reports,unclear,place not stated,—,maybe — needs the survey's own geography,4,2,True,"household or phone survey, registry / administrative database, facility / asset / infrastructure records","{""non_spatial"": 1, ""unclear"": 3}",M&E reports,
moh m&e records,admin_linked,named area,point,maybe — needs the survey's own geography,4,1,False,"named source, family not stated","{""admin_linked"": 4}",MoH M&E records,
municipal statistics,admin_linked,named area,country only,no — aggregate,4,2,True,"household or phone survey, official statistics series, registry / administrative database","{""non_spatial"": 1, ""admin_linked"": 3}",municipal statistics,
outcome surveys,unclear,place not stated,—,maybe — needs the survey's own geography,4,1,True,household or phone survey,"{""non_spatial"": 1, ""unclear"": 3}",annual outcome surveys,
